cus_MZLaaJi3ck3Cdz,0,1665135034
cus_MWhr7V9UN9YfmE,0,1664525963
cus_MWhMHBcC3IRnJD,0,1664524147
cus_MWgCbNixXwgrcF,-1596,1664519799
cus_MVZ4JQ528es0RK,0,1664262679
cus_MU6nuaxFarQvhu,0,1663926813
cus_MTf6YG0kLM7BBF,-6000,1663823831
cus_MTMhg2aziDfWwl,0,1663755335
cus_MTDx5CBUlDrmDg,0,1663722854
cus_MTDxIuwZZaworK,0,1663722852
cus_MTDx53Tbwg3Zrn,0,1663722849
cus_MTDQVHcTtgisGD,0,1663720837
cus_MTD9KeOUAWfIZu,0,1663719806
cus_MTD6WNb8YghRKS,0,1663719624
cus_MTClKYnCi7V991,0,1663718362
cus_MTCGHW9jXpL6zL,0,1663716551
cus_MTCGE1mZBk0fbz,0,1663716528
cus_MTCFHkaxo4ZKal,0,1663716493
cus_MTC5H1uoFYpeph,0,1663715877
cus_MTBgXgooiogp8h,0,1663714373
cus_MTBg3EJpAaUTvv,0,1663714371
cus_MTBfZRrpuA1KcF,0,1663714332
cus_MTB9VOsjfiYBMI,0,1663712399
cus_MTB74Zko5jNXrA,0,1663712253
cus_MTB5VqEwrKBDh2,0,1663712174
cus_MTAnjqkxIAc0EV,0,1663711095
cus_MTAnEMxaTJxPti,0,1663711078
cus_MT9jAooBm63Nj2,0,1663707116
cus_MQhyFEefJIQto6,0,1663142589
cus_MOebw1hAA4EgPe,0,1662668770
cus_MOeYV85IguAC9P,0,1662668588
cus_MOdljoSqw0TbXX,0,1662665621
cus_MLW0tq7Z5t4Bg2,0,1661944847
cus_ML8CUtxVKwN9Hi,0,1661856304
cus_MGLFf6Zd6f52eJ,0,1660751606
cus_MEVpFLTINyYey6,0,1660329726
cus_MAbx4v1eIbXoLk,0,1659429967
cus_MAbgp3ztO0Evbw,0,1659428908
cus_MAZivlvOkqX0Vq,0,1659421630
cus_MAZdBcBCQTh8LB,0,1659421283
cus_MAZLC7IYtUUWZw,0,1659420235
cus_MAYdLLLCpmxToJ,0,1659417589
cus_MALPD0ElgxiWLC,0,1659368412
cus_M6XjAcx3bvZTwo,-10000,1658491641
cus_M6Wp3EqCSGkBrz,0,1658488338
cus_M6WcGpHAJB58uZ,0,1658487518
cus_M6TyAf4MsJcg6q,0,1658477718
cus_M6ToZsJyzGJi6P,0,1658477082
cus_M6R4A1U6T8eC9l,0,1658466889
cus_M6QvBTjnWEjR61,0,1658466357
cus_M6Qj7XagZfBx7B,0,1658465629
cus_M5gxhjoAygYKOS,0,1658295336
cus_M1JE95wu9SApyN,0,1657284533
cus_LyFo4oX7HrFpot,0,1656579903
cus_LxYZksGRHQXAuO,0,1656419029
cus_LxXI5qhKRivFSv,0,1656414300
cus_Lx4jw44P38Bv07,0,1656308027
cus_Lx4WJhtLPMba8Z,0,1656307264
cus_LugT5Vp0YdkAgJ,0,1655756485
cus_LuaiQtDMKsQvAr,0,1655735117
cus_LsKsJ6L3L9jEzO,-300,1655214865
cus_LsCB8LDY04lXKZ,0,1655182572
cus_Lq1sCdBBoV5faY,0,1654682955
cus_Lo8yGNDTzGQI8H,0,1654248034
cus_Lo8eQwoY7ZxnFE,0,1654246840
cus_Lo88qqmbpiqvzX,0,1654244949
cus_Lo869ISthm1UOK,0,1654244803
cus_LnoX6Hqstk6lrx,0,1654172003
cus_LnmJVhsh4giUnI,0,1654163754
cus_Ll7PEFypS3kApE,0,1653550338
cus_Ll4jedk8PgUeu9,0,1653540378
cus_Lk56KyEzieqd2M,0,1653311089
cus_LiqM9UMZZVSW3A,0,1653025634
cus_LhkOCRb3LDKCiQ,0,1652772798
cus_LhkJ7y1sGzqcgj,0,1652772460
cus_LhUsS9ex7k7SMM,0,1652715026
cus_LgPuDpV6pmXDAG,0,1652465931
cus_LgPlVXbXRmYo0j,0,1652465387
cus_LgNm6bJCLZzd3f,0,1652458020
cus_LgM6AKG8sBgulV,0,1652451764
cus_LfstjU4lnLB3kH,0,1652343100
cus_LfUghgdpRT6KcB,0,1652253064
